VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspend time,Creation date,Change Version,# CPU,Memory,NICs,Disks,min Required EVC Mode Key ,Latency Sensitivity,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder,vApp,DAS protection,FT State,FT Latency,FT Bandwidth,FT Sec. Latency,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server type,VI SDK API Version,VMs,VI SDK Server,VI SDK UUID
ecbrprkc01,poweredOn,False,False,green,ECBRPRKC01,connected,running,green,False,2024-05-11 01:15:14,,2020-06-10 20:59:45,2025-06-20 19:47:22,4,8192,0,2,intel-haswell,normal,True,True,192.168.12.10,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,184323,73022,73019,,,,,,False,0,10000,False,False,bios,8,none,never,,[DataStore_Aplicacion_1_UIO] ecbrprkc01/ecbrprkc01.vmx,[DataStore_Aplicacion_1_UIO] ecbrprkc01/,[DataStore_Aplicacion_1_UIO] ecbrprkc01/,[DataStore_Aplicacion_1_UIO] ecbrprkc01/,,"Sat Jul  5 08:00:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx22.bgr.com,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14336,8cbf296e-0acb-427d-ad92-646decd7e64d,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprkc02,poweredOn,False,False,green,ECBRPRKC02,connected,running,green,False,2024-05-11 01:15:43,,2020-06-10 20:49:45,2025-07-08 00:52:51,4,8192,0,2,intel-haswell,normal,True,True,172.20.115.11,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,184322,90546,90544,,,,,,False,6000,10000,False,False,bios,8,none,never,,[DataStore_Aplicacion_1_UIO] ecbrprkc02/ecbrprkc02.vmx,[DataStore_Aplicacion_1_UIO] ecbrprkc02/,[DataStore_Aplicacion_1_UIO] ecbrprkc02/,[DataStore_Aplicacion_1_UIO] ecbrprkc02/,,"Sat Jul  5 08:00:15 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx21.bgr.com,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14352,ac626482-356a-4e33-b453-d4db3b0d3a75,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprkf01,poweredOn,False,False,green,ECBRPRKF01.bgr.com,connected,running,green,False,2025-04-13 19:35:39,,2020-06-10 19:17:02,2025-07-08 00:50:03,2,6144,0,2,intel-haswell,normal,True,True,172.20.1.144,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,665602,408193,408191,,,,,,False,0,10000,False,False,bios,8,none,never,,[DataStore_Aplicacion_1_UIO] ecbrprkf01_1/ecbrprkf01.vmx,[DataStore_Aplicacion_1_UIO] ecbrprkf01_1/,[DataStore_Aplicacion_1_UIO] ecbrprkf01_1/,[DataStore_Aplicacion_1_UIO] ecbrprkf01_1/,,"Sat Jul  5 08:00:15 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx16.bgr.com,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14356,83325daf-1bba-4084-b6c1-b1a3dba6249e,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprkw01,poweredOn,False,False,green,ECBRPRKW01.bgr.com,connected,running,green,False,2024-05-11 01:22:27,,2020-06-10 20:28:28,2025-07-08 15:10:09,4,8192,0,2,intel-haswell,normal,True,True,172.20.1.140,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,194562,113784,113781,,,,,,False,0,10000,False,False,bios,8,none,never,,[DataStore_Aplicacion_1_UIO] ecbrprkw01_1/ecbrprkw01.vmx,[DataStore_Aplicacion_1_UIO] ecbrprkw01_1/,[DataStore_Aplicacion_1_UIO] ecbrprkw01_1/,[DataStore_Aplicacion_1_UIO] ecbrprkw01_1/,,"Sat Jul  5 08:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx21.bgr.com,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14343,c9dd3d37-33dc-4b0c-996c-10c4372d915e,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlx02,poweredOn,False,False,green,ecbrprlx02,connected,running,green,False,2024-03-22 11:30:43,,2021-03-05 13:19:22,2025-07-08 00:07:01,2,4096,0,1,intel-haswell,normal,,True,172.20.1.20,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,71682,60158,60155,,,,,,False,0,10000,False,False,efi,14,none,never,,[DataStore_Aplicacion_1_UIO] zabbixproxy_2/zabbixproxy.vmx,[DataStore_Aplicacion_1_UIO] zabbixproxy_2/,[DataStore_Aplicacion_1_UIO] zabbixproxy_2/,[DataStore_Aplicacion_1_UIO] zabbixproxy_2/,Servidor de Monitoreo de switch de agencias  - TEUNO,"Sat Jul  5 08:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx22.bgr.com,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8 (64-bit),vm-4168,422ee753-db2b-7ea5-5a9e-44cd83cd054e,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlx04,poweredOn,False,False,green,,connected,notRunning,gray,False,2024-02-07 15:34:26,,2021-10-21 10:48:16,2025-07-08 05:37:02,4,4096,0,1,intel-haswell,normal,,,,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,51201,48570,48568,,,,,,False,0,10000,False,False,bios,4,none,never,,[DataStore_Aplicacion_2_UIO] LUMU_DCP/LUMU_DCP.vmx,[DataStore_Aplicacion_2_UIO] LUMU_DCP/,[DataStore_Aplicacion_2_UIO] LUMU_DCP/,[DataStore_Aplicacion_2_UIO] LUMU_DCP/,,"Sat Jul  5 00:00:11 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_SinAccelerator",DCP,Cluster_Quito,ecbrprsx21.bgr.com,Ubuntu Linux (64-bit),,vm-4550,422ed765-b172-945a-1478-f029f4dcc357,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ECBRPRLX07,poweredOn,False,False,green,ecbrprlx07,connected,running,green,False,2025-01-11 02:33:11,,2022-11-14 15:40:18,2025-06-21 12:15:13,10,81920,0,7,intel-haswell,normal,,True,172.20.115.24,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,1404932,1214489,1214485,,,,,,False,0,10000,False,False,bios,19,none,never,,[DataStore_Aplicacion_1_UIO] ECBRPRLX07/ECBRPRLX07.vmx,[DataStore_Aplicacion_1_UIO] ECBRPRLX07/,[DataStore_Aplicacion_1_UIO] ECBRPRLX07/,[DataStore_Aplicacion_1_UIO] ECBRPRLX07/,,"Sat Jun 28 08:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_ECBRPRLX07",DCP,Cluster_Quito,ecbrprsx17.bgr.com,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-34641,1d6f3b2f-a9c2-4cb1-a785-00c2bd43f400,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlx08,poweredOn,False,False,green,,connected,notRunning,gray,False,2025-07-04 21:28:05,,2023-07-18 09:25:30,2025-07-04 21:26:17,4,65536,1,5,intel-haswell,normal,,True,,VM_Produccion_01,,,,,,,,1.0,,/DCP/Cluster_BI/Resources,/DCP,,,notConfigured,gray,-1,-1,1257623,999436,933749,,,,,,False,0,10000,True,False,bios,19,none,never,,[DiskLun_Servidores_PROD] ecbrprlx08/ecbrprlx08.vmx,[DiskLun_Servidores_PROD] ecbrprlx08/,[DiskLun_Servidores_PROD] ecbrprlx08/,[DiskLun_Servidores_PROD] ecbrprlx08/,,"Sun Jul  6 02:00:10 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,Ubuntu Linux (64-bit),,vm-7721,422ef8ce-e7dc-9a11-16f6-63e110900a8c,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlx09,poweredOff,False,False,green,ecbrprlx09,connected,notRunning,gray,False,,,2023-07-18 09:27:51,2025-06-17 19:26:44,4,8192,0,2,,normal,,True,,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,,notConfigured,gray,-1,-1,213374,27033,26891,,,,,,False,0,10000,False,False,bios,19,none,never,,[DataStore_Aplicacion_2_UIO] ecbrprlx09/ecbrprlx09.vmx,[DataStore_Aplicacion_2_UIO] ecbrprlx09/,[DataStore_Aplicacion_2_UIO] ecbrprlx09/,[DataStore_Aplicacion_2_UIO] ecbrprlx09/,,"Sun Aug  4 16:39:37 2024 -0500,ecbrprps1.bgr.com,VMware_Aplicacion_1_UIO_15D_Grupo_17",DCP,Cluster_Quito,ecbrprsx17.bgr.com,Ubuntu Linux (64-bit),,vm-7722,422e5e14-afa6-01ad-040b-cf37a0e48fd7,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlx10,poweredOff,False,False,green,ecbrprlx10,connected,notRunning,gray,False,,,2023-07-18 09:28:07,2025-06-22 19:55:35,4,8192,0,2,,normal,,True,,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,,notConfigured,gray,-1,-1,121214,40915,40773,,,,,,False,0,10000,False,False,bios,19,none,never,,[DataStore_Aplicacion_2_UIO] ecbrprlx10/ecbrprlx10.vmx,[DataStore_Aplicacion_2_UIO] ecbrprlx10/,[DataStore_Aplicacion_2_UIO] ecbrprlx10/,[DataStore_Aplicacion_2_UIO] ecbrprlx10/,,"Sun Aug  4 19:48:18 2024 -0500,ecbrprps1.bgr.com,VMware_Aplicacion_1_UIO_15D_Grupo_19",DCP,Cluster_Quito,ecbrprsx20.bgr.com,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-7723,422ecebd-4c67-abfa-ad30-baa5ac18ad4f,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlx11,poweredOn,False,False,green,ecbrprlx11,connected,running,green,False,2024-05-08 12:28:31,,2023-07-18 14:27:13,2025-06-20 19:47:52,4,8192,0,2,intel-haswell,normal,,True,fe80::250:56ff:feae:c13b,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,184322,31808,31805,,,,,,False,0,10000,False,False,bios,19,none,never,,[DataStore_Aplicacion_2_UIO] ecbrprlx11/ecbrprlx11.vmx,[DataStore_Aplicacion_2_UIO] ecbrprlx11/,[DataStore_Aplicacion_2_UIO] ecbrprlx11/,[DataStore_Aplicacion_2_UIO] ecbrprlx11/,,"Sat Jul  5 18:00:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx22.bgr.com,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-7726,422e6056-81e9-8928-84b3-0ee78c796bfa,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlx12,poweredOff,False,False,green,ecbrprlx12,connected,notRunning,gray,True,,,2024-03-19 10:33:14,2025-06-22 19:55:35,6,8192,0,3,,normal,True,True,,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,,notConfigured,gray,-1,-1,99190,39125,39124,,,,,,False,500,10000,False,False,efi,19,none,never,,[DataStore_Aplicacion_1_UIO] ecbrprlx12/ecbrprlx12.vmx,[DataStore_Aplicacion_1_UIO] ecbrprlx12/,[DataStore_Aplicacion_1_UIO] ecbrprlx12/,[DataStore_Aplicacion_1_UIO] ecbrprlx12/,,"Tue Jun  3 11:02:04 2025 -0500,ecbrprps1.bgr.com,Test_NewVMkernel",DCP,Cluster_Quito,ecbrprsx20.bgr.com,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8 (64-bit),vm-12282,422e9e29-11a5-26c7-0112-fbfe8dc32008,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlx13,poweredOn,False,False,green,ecbrprlx13,connected,running,green,False,2025-01-14 21:42:31,,2024-05-09 15:06:14,2025-07-08 00:49:42,4,8192,0,1,intel-haswell,normal,,True,172.20.115.35,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP/Plantillas_2024/UNIX/RHEL,,True,notConfigured,gray,-1,-1,276482,271402,271399,,,,,,False,0,10000,False,False,bios,19,none,never,,[DataStore_Aplicacion_1_UIO] ecbrprlx13/ecbrprlx13.vmx,[DataStore_Aplicacion_1_UIO] ecbrprlx13/,[DataStore_Aplicacion_1_UIO] ecbrprlx13/,[DataStore_Aplicacion_1_UIO] ecbrprlx13/,,"Sat Jul  5 08:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx22.bgr.com,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-14159,422edba0-1088-eca2-289b-1cc9a13dd717,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlx14,poweredOn,False,False,green,ecbrprlx14,connected,running,green,False,2025-01-14 23:34:37,,2024-05-09 11:06:12,2025-07-09 01:27:14,2,4096,0,1,intel-haswell,normal,,True,172.20.55.116,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP/Plantillas_2024/UNIX/RHEL,,True,notConfigured,gray,-1,-1,102402,27220,27218,,,,,,False,0,10000,False,False,efi,19,none,never,,[DataStore_Aplicacion_1_UIO] Nueva máquina virtual/Nueva máquina virtual.vmx,[DataStore_Aplicacion_1_UIO] Nueva máquina virtual/,[DataStore_Aplicacion_1_UIO] Nueva máquina virtual/,[DataStore_Aplicacion_1_UIO] Nueva máquina virtual/,,"Sat Jul  5 08:00:15 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx20.bgr.com,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8 (64-bit),vm-14156,422e127b-eb83-3f4a-ad9f-f2316f303e56,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlx15,poweredOn,False,False,green,ecbrprlx15,connected,running,green,False,2025-06-27 08:04:54,,2024-05-09 11:07:31,2025-07-07 15:26:31,2,4096,0,1,intel-haswell,normal,,True,172.20.55.117,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP/Plantillas_2024/UNIX/RHEL,,True,notConfigured,gray,-1,-1,174082,77575,77572,,,,,,False,0,10000,False,False,efi,19,none,never,,[DataStore_Aplicacion_2_UIO] ecbrprlx15/ecbrprlx15.vmx,[DataStore_Aplicacion_2_UIO] ecbrprlx15/,[DataStore_Aplicacion_2_UIO] ecbrprlx15/,[DataStore_Aplicacion_2_UIO] ecbrprlx15/,,"Sat Jul  5 18:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx18.bgr.com,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8 (64-bit),vm-14157,422eac1e-3e51-6d88-6b2e-0f588a0f8629,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlx16,poweredOn,False,False,green,ecbrprlx16,connected,running,green,False,2024-08-29 12:27:03,,2024-08-06 13:36:06,2025-06-17 19:38:29,8,32768,0,1,intel-haswell,normal,,True,172.20.65.203,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,241666,53824,53822,,,,,,False,0,10000,False,False,efi,19,none,never,,[DataStore_Aplicacion_2_UIO] ecbrprlx16/ecbrprlx16.vmx,[DataStore_Aplicacion_2_UIO] ecbrprlx16/,[DataStore_Aplicacion_2_UIO] ecbrprlx16/,[DataStore_Aplicacion_2_UIO] ecbrprlx16/,,"Sat Jul  5 20:00:07 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_LX_NBU",DCP,Cluster_Quito,ecbrprsx17.bgr.com,Red Hat Enterprise Linux 9 (64-bit),Red Hat Enterprise Linux 9 (64-bit),vm-18638,422eab09-f6a7-5fb4-c08d-d2f3fce20df4,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlx16_REQ 2025-046223,poweredOff,False,False,green,,connected,notRunning,gray,False,,,2025-07-03 10:55:04,2025-07-03 10:56:28,8,32768,0,1,,normal,,,,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,,notConfigured,gray,-1,-1,274713,4791,4790,,,,,,False,0,10000,False,False,efi,21,none,never,,[DataStore_Aplicacion_2_UIO] ecbrprlx16_REQ 2025-046223/ecbrprlx16_REQ 2025-046223.vmx,[DataStore_Aplicacion_2_UIO] ecbrprlx16_REQ 2025-046223/,[DataStore_Aplicacion_2_UIO] ecbrprlx16_REQ 2025-046223/,[DataStore_Aplicacion_2_UIO] ecbrprlx16_REQ 2025-046223/,,"""Wed Jul  2 23:47:52 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_LX_NBU""",DCP,Cluster_Quito,ecbrprsx17.bgr.com,Red Hat Enterprise Linux 9 (64-bit),,vm-57356,422ea859-0c8b-559d-b5bb-a04e7c21a647,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlx17,poweredOn,False,False,green,ecbrprlx17,connected,running,green,False,2025-05-16 11:35:21,,2025-04-07 18:47:13,2025-07-08 13:08:53,2,4096,0,1,intel-haswell,normal,,True,172.20.55.75,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP/Discovered virtual machine,,True,notConfigured,gray,-1,-1,30002,22475,22473,,,,,,False,0,10000,False,False,bios,17,none,never,,[DataStore_Aplicacion_2_UIO] ecbrprlx17_new/ecbrprlx17_new.vmx,[DataStore_Aplicacion_2_UIO] ecbrprlx17_new/,[DataStore_Aplicacion_2_UIO] ecbrprlx17_new/,[DataStore_Aplicacion_2_UIO] ecbrprlx17_new/,,"Sat Jul  5 21:00:06 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_LX_SSI",DCP,Cluster_Quito,ecbrprsx16.bgr.com,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-48181,564d479b-bad2-d1fe-3fbf-28ebc8a4e813,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlx20,poweredOn,False,False,green,ecbrprlx20,connected,running,green,False,2025-06-02 17:41:06,,2025-01-20 11:14:09,2025-06-21 15:36:07,4,8192,0,1,intel-haswell,normal,,,172.20.55.125,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,204802,29424,29421,,,,,,False,0,10000,False,False,bios,18,none,never,,[DataStore_Aplicacion_1_UIO] ecbrprlx20/ecbrprlx20.vmx,[DataStore_Aplicacion_1_UIO] ecbrprlx20/,[DataStore_Aplicacion_1_UIO] ecbrprlx20/,[DataStore_Aplicacion_1_UIO] ecbrprlx20/,Administrado por Dennis Chavez - TCS no administra,,DCP,Cluster_Quito,ecbrprsx16.bgr.com,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 9 (64-bit),vm-39948,422e3a45-b5bc-b705-ab17-4e5e28511e19,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlx21,poweredOn,False,False,green,ecbrprlx21,connected,running,green,False,2025-07-07 11:28:59,,2025-07-07 11:26:22,2025-07-07 11:28:59,4,16384,0,1,intel-haswell,normal,,,172.20.1.17,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,512000,18194,18194,,,,,,False,0,10000,False,False,bios,8,none,never,,[DataStore_Aplicacion_1_UIO] ecbrprlx21/ecbrprlx21.vmx,[DataStore_Aplicacion_1_UIO] ecbrprlx21/,[DataStore_Aplicacion_1_UIO] ecbrprlx21/,[DataStore_Aplicacion_1_UIO] ecbrprlx21/,HPE Primera & 3PAR SSMC Appliance,,DCP,Cluster_Quito,ecbrprsx21.bgr.com,Debian GNU/Linux 6 (64-bit),Debian GNU/Linux 4 (64-bit),vm-57852,422ea841-ef8a-8847-ba6c-7ddd85a00e26,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlxcc,poweredOn,False,False,green,ecbrprlxcc,connected,running,green,False,2025-06-20 15:44:59,,2023-08-30 14:39:42,2025-07-08 00:39:00,4,40960,0,4,intel-haswell,normal,,True,172.20.42.16,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,705251,366888,345184,,,,,,False,10000,10000,False,False,efi,19,none,never,,[DataStore_Aplicacion_1_UIO] ecbrprlxcc/ecbrprlxcc.vmx,[DataStore_Aplicacion_1_UIO] ecbrprlxcc/,[DataStore_Aplicacion_1_UIO] ecbrprlxcc/,[DataStore_Aplicacion_1_UIO] ecbrprlxcc/,,"Sat Jul  5 08:00:19 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx16.bgr.com,Red Hat Enterprise Linux 8 (64-bit),Red Hat Enterprise Linux 8 (64-bit),vm-10064,422e9b7c-0305-06cb-3325-e17fa84fe1d0,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlxdn01,poweredOn,False,False,green,forwarder,connected,running,green,False,2023-10-13 17:51:07,,2023-10-13 16:17:07,2025-07-07 11:47:49,8,8192,0,2,intel-haswell,normal,,True,172.20.55.89,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,6658,4278,4275,,,,,,False,0,10000,False,False,bios,9,none,never,,[DataStore_Aplicacion_2_UIO] ecbrprlxdn01/ecbrprlxdn01.vmx,[DataStore_Aplicacion_2_UIO] ecbrprlxdn01/,[DataStore_Aplicacion_2_UIO] ecbrprlxdn01/,[DataStore_Aplicacion_2_UIO] ecbrprlxdn01/,,"Sat Jul  5 18:00:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx16.bgr.com,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-10174,422e519b-8e1c-7e8c-82ed-8189a3b48592,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlxdn02,poweredOn,False,False,green,forwarder,connected,running,green,False,2023-10-13 17:51:14,,2023-10-13 17:22:12,2025-07-07 11:53:57,8,8192,0,2,intel-haswell,normal,,True,172.20.55.90,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,6657,4257,4255,,,,,,False,0,10000,False,False,bios,9,none,never,,[DataStore_Aplicacion_2_UIO] ecbrprlxdn02/ecbrprlxdn02.vmx,[DataStore_Aplicacion_2_UIO] ecbrprlxdn02/,[DataStore_Aplicacion_2_UIO] ecbrprlxdn02/,[DataStore_Aplicacion_2_UIO] ecbrprlxdn02/,,"Sat Jul  5 18:00:19 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx16.bgr.com,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-10176,422ea39b-492d-272e-8258-57a9659f1e7d,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlxgmor,poweredOn,False,False,green,ecbrprlxgmor.bgr.com,connected,running,green,False,2025-07-04 21:28:05,,2023-11-23 15:57:22,2025-07-04 21:26:17,4,8192,1,1,intel-haswell,normal,,True,172.20.55.103,VM_Produccion_55,,,,,,,,1.0,,/DCP/Cluster_BI/Resources,/DCP,,,notConfigured,gray,-1,-1,69717,49782,41505,,,,,,False,0,10000,False,False,bios,11,none,never,,[DiskLun_3PAR8400_HPE_GMS] ecbrprlxgmor/ecbrprlxgmor.vmx,[DiskLun_3PAR8400_HPE_GMS] ecbrprlxgmor/,[DiskLun_3PAR8400_HPE_GMS] ecbrprlxgmor/,[DiskLun_3PAR8400_HPE_GMS] ecbrprlxgmor/,,"Sun Jul  6 02:00:06 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-10576,422ee028-3af3-d957-2ed1-bd3326114f14,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprlxgmtr,poweredOn,False,False,green,ecbrprlxgmtr,connected,running,green,False,2025-07-04 21:28:05,,2023-11-24 08:36:12,2025-07-04 21:26:17,4,12288,1,1,intel-haswell,normal,,True,172.20.55.102,VM_Produccion_55,,,,,,,,1.0,,/DCP/Cluster_BI/Resources,/DCP,,,notConfigured,gray,-1,-1,524390,22660,10270,,,,,,False,0,10000,False,False,bios,19,none,never,,[DiskLun_3PAR8400_HPE_GMS] ecbrprlxgmtr/ecbrprlxgmtr.vmx,[DiskLun_3PAR8400_HPE_GMS] ecbrprlxgmtr/,[DiskLun_3PAR8400_HPE_GMS] ecbrprlxgmtr/,[DiskLun_3PAR8400_HPE_GMS] ecbrprlxgmtr/,,"Sun Jul  6 02:00:07 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,Ubuntu Linux (64-bit),CentOS 7 (64-bit),vm-10577,422ebf36-eb05-943e-3a0b-667c301c4832,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
